Month, Switzerland, HotelTrend, Covid
2009-01, 528523, , 0
2009-02, 521069, , 0
2009-03, 567431, , 0
2009-04, 468308, , 0
2009-05, 548389, , 0
2009-06, 638139, , 0
2009-07, 805722, , 0
2009-08, 834422, , 0
2009-09, 789269, , 0
2009-10, 658074, , 0
2009-11, 427168, , 0
2009-12, 484062, , 0
2010-01, 539765, 81, 0
2010-02, 546033, 82, 0
2010-03, 590619, 83, 0
2010-04, 508260, 80, 0
2010-05, 570264, 84, 0
2010-06, 671017, 83, 0
2010-07, 851137, 100, 0
2010-08, 827134, 94, 0
2010-09, 803808, 85, 0
2010-10, 686656, 78, 0
2010-11, 457124, 66, 0
2010-12, 522473, 61, 0
2011-01, 576182, 80, 0
2011-02, 557094, 80, 0
2011-03, 601596, 74, 0
2011-04, 537947, 77, 0
2011-05, 546071, 77, 0
2011-06, 722657, 81, 0
2011-07, 844268, 97, 0
2011-08, 822020, 85, 0
2011-09, 824172, 80, 0
2011-10, 674454, 73, 0
2011-11, 466259, 61, 0
2011-12, 521962, 59, 0
2012-01, 572815, 75, 0
2012-02, 591125, 73, 0
2012-03, 642164, 74, 0
2012-04, 490584, 73, 0
2012-05, 571676, 75, 0
2012-06, 707020, 76, 0
2012-07, 808058, 93, 0
2012-08, 851099, 81, 0
2012-09, 818115, 79, 0
2012-10, 660828, 71, 0
2012-11, 474395, 59, 0
2012-12, 543851, 60, 0
2013-01, 558210, 75, 0
2013-02, 591304, 75, 0
2013-03, 681087, 75, 0
2013-04, 488064, 73, 0
2013-05, 563797, 74, 0
2013-06, 713002, 74, 0
2013-07, 868448, 88, 0
2013-08, 896234, 85, 0
2013-09, 815696, 78, 0
2013-10, 639407, 70, 0
2013-11, 498570, 60, 0
2013-12, 549926, 60, 0
2014-01, 577525, 75, 0
2014-02, 581615, 74, 0
2014-03, 679516, 73, 0
2014-04, 508843, 74, 0
2014-05, 605011, 71, 0
2014-06, 719538, 76, 0
2014-07, 822991, 92, 0
2014-08, 881499, 85, 0
2014-09, 842443, 78, 0
2014-10, 706891, 71, 0
2014-11, 499669, 61, 0
2014-12, 578252, 59, 0
2015-01, 596673, 74, 0
2015-02, 626565, 73, 0
2015-03, 646100, 73, 0
2015-04, 530325, 72, 0
2015-05, 610318, 75, 0
2015-06, 728111, 74, 0
2015-07, 879095, 89, 0
2015-08, 899042, 81, 0
2015-09, 822798, 77, 0
2015-10, 699833, 69, 0
2015-11, 502370, 59, 0
2015-12, 583558, 60, 0
2016-01, 589645, 73, 0
2016-02, 645379, 75, 0
2016-03, 692486, 73, 0
2016-04, 544867, 72, 0
2016-05, 620571, 74, 0
2016-06, 707450, 71, 0
2016-07, 901188, 91, 0
2016-08, 895628, 84, 0
2016-09, 856855, 76, 0
2016-10, 724183, 71, 0
2016-11, 502295, 60, 0
2016-12, 592583, 60, 0
2017-01, 618475, 74, 0
2017-02, 658002, 75, 0
2017-03, 713396, 71, 0
2017-04, 596686, 72, 0
2017-05, 640926, 72, 0
2017-06, 790583, 74, 0
2017-07, 921825, 90, 0
2017-08, 904000, 81, 0
2017-09, 894185, 75, 0
2017-10, 771657, 72, 0
2017-11, 529192, 61, 0
2017-12, 633826, 60, 0
2018-01, 649656, 75, 0
2018-02, 676023, 72, 0
2018-03, 763846, 71, 0
2018-04, 598738, 72, 0
2018-05, 658691, 71, 0
2018-06, 831937, 71, 0
2018-07, 937992, 86, 0
2018-08, 958865, 81, 0
2018-09, 941006, 76, 0
2018-10, 778532, 70, 0
2018-11, 557671, 59, 0
2018-12, 638116, 60, 0
2019-01, 647315, 73, 0
2019-02, 698093, 72, 0
2019-03, 774956, 68, 0
2019-04, 623656, 69, 0
2019-05, 697684, 67, 0
2019-06, 858811, 74, 0
2019-07, 987515, 87, 0
2019-08, 1011069, 77, 0
2019-09, 926890, 76, 0
2019-10, 784940, 68, 0
2019-11, 589729, 58, 0
2019-12, 678702, 63, 0
2020-01, 697768, 72, 0
2020-02, 731214, 69, 7
2020-03, 292613, 33, 100
2020-04, 40927, 21, 85
2020-05, 277369, 43, 41
2020-06, 591670, 65, 32
2020-07, 1189211, 87, 23
2020-08, 1079180, 76, 22
2020-09, 1004036, 72, 19
2020-10, 796811, 52, 24
2020-11, 0, 33, 19
2020-12, 0, 37, 24
