Month,Passengers,Covid
2008-01,399556,0
2008-02,411032,0
2008-03,414332,0
2008-04,395900,0
2008-05,366387,0
2008-06,352945,0
2008-07,330000,0
2008-08,339000,0
2008-09,286389,0
2008-10,296742,0
2008-11,279904,0
2008-12,358048,0
2009-01,370000,0
2009-02,342913,0
2009-03,303489,0
2009-04,305430,0
2009-05,292843,0
2009-06,279147,0
2009-07,271422,0
2009-08,314915,0
2009-09,304419,0
2009-10,227859,0
2009-11,387871,0
2009-12,376400,0
2010-01,416249,0
2010-02,446323,0
2010-03,473509,0
2010-04,432608,0
2010-05,350982,0
2010-06,375707,0
2010-07,410000,0
2010-08,427935,0
2010-09,383463,0
2010-10,440071,0
2010-11,428295,0
2010-12,449570,0
2011-01,506424,0
2011-02,529315,0
2011-03,475733,0
2011-04,460000,0
2011-05,480886,0
2011-06,446966,0
2011-07,460000,0
2011-08,552234,0
2011-09,286618,0
2011-10,518477,0
2011-11,611864,0
2011-12,593408,0
2012-01,630000,0
2012-02,681849,0
2012-03,561877,0
2012-04,620000,0
2012-05,615523,0
2012-06,417429,0
2012-07,466000,0
2012-08,525292,0
2012-09,460238,0
2012-10,495576,0
2012-11,655701,0
2012-12,614673,0
2013-01,651812,0
2013-02,570476,0
2013-03,587366,0
2013-04,613919,0
2013-05,558751,0
2013-06,567291,0
2013-07,658325,0
2013-08,676719,0
2013-09,614827,0
2013-10,628695,0
2013-11,731034,0
2013-12,722349,0
2014-01,776174,0
2014-02,842026,0
2014-03,709725,0
2014-04,745980,0
2014-05,674204,0
2014-06,539776,0
2014-07,564736,0
2014-08,618588,0
2014-09,590881,0
2014-10,559002,0
2014-11,608617,0
2014-12,657304,0
2015-01,700692,0
2015-02,756000,0
2015-03,617895,0
2015-04,690440,0
2015-05,576868,0
2015-06,529445,0
2015-07,593566,0
2015-08,664985,0
2015-09,626324,0
2015-10,649099,0
2015-11,732740,0
2015-12,760798,0
2016-01,815200,0
2016-02,843726,0
2016-03,830608,0
2016-04,799612,0
2016-05,767373,0
2016-06,710574,0
2016-07,856438,0
2016-08,909866,0
2016-09,823135,0
2016-10,822145,0
2016-11,936779,0
2016-12,897279,0
2017-01,1007238,0
2017-02,1199421,0
2017-03,1005821,0
2017-04,1071650,0
2017-05,972844,0
2017-06,949362,0
2017-07,1036880,0
2017-08,1229163,0
2017-09,975952,0
2017-10,1024899,0
2017-11,1172568,0
2017-12,1276353,0
2018-01,1430242,0
2018-02,1431845,0
2018-03,1343314,0
2018-04,1341913,0
2018-05,1161114,0
2018-06,1183102,0
2018-07,1188817,0
2018-08,1323546,0
2018-09,1212597,0
2018-10,1205157,0
2018-11,1301909,0
2018-12,1374235,0
2019-01,1501766,0
2019-02,1588161,0
2019-03,1410187,0
2019-04,1468766,0
2019-05,1326668,0
2019-06,1185445,0
2019-07,1315792,0
2019-08,1512447,0
2019-09,1561274,0
2019-10,1618337,0
2019-11,1809580,0
2019-12,1710168,0
2020-01,1994125,2
2020-02,1242731,14
2020-03,449923,158
2020-04,1,96
2020-05,1,58
2020-06,1,27
2020-07,1,63
2020-08,1,622
2020-09,1,29
2020-10,1,91
2020-11,1,181
2020-12,1,99
2021-01,1,379
2021-02,1,629
2021-03,1,143
2021-04,1,255
2021-05,1,4322
2021-06,1,8572
2021-07,1,85433
2021-08,1,334092
2021-09,1,321424
2021-10,1,164433
2021-11,400,289218
2021-12,3100,441333
2022-01,19727,611380
2022-02,29517,1057952
2022-03,41740,5690468
2022-04,101373,1552029
2022-05,172948,153749
2022-06,236677,26197
2022-07,352579,31231
2022-08,486407,626918
2022-09,431909,69743
2022-10,484355,30829
2022-11,596919,12005
2022-12,707071,10028
2023-01,871162,2193
2023-02,932969,496
2023-03,895425,312
2023-04,984146,32659
2023-05,916257,49675
2023-06,975010,10510
2023-07,1038563,1751
2023-08,1217421,885
2023-09,1054449,888
2023-10,1112526,429
2023-11,1233371,0
2023-12,1371135,0
