Month,Passengers,Search,Covid
2008-01,399556,700000,0
2008-02,411032,730000,0
2008-03,414332,710000,0
2008-04,395900,720000,0
2008-05,366387,730000,0
2008-06,352945,760000,0
2008-07,330000,830000,0
2008-08,339000,750000,0
2008-09,286389,640000,0
2008-10,296742,620000,0
2008-11,279904,610000,0
2008-12,358048,610000,0
2009-01,370000,670000,0
2009-02,342913,670000,0
2009-03,303489,640000,0
2009-04,305430,660000,0
2009-05,292843,690000,0
2009-06,279147,700000,0
2009-07,271422,750000,0
2009-08,314915,700000,0
2009-09,304419,640000,0
2009-10,227859,600000,0
2009-11,387871,590000,0
2009-12,376400,580000,0
2010-01,416249,650000,0
2010-02,446323,640000,0
2010-03,473509,590000,0
2010-04,432608,640000,0
2010-05,350982,640000,0
2010-06,375707,660000,0
2010-07,410000,710000,0
2010-08,427935,690000,0
2010-09,383463,590000,0
2010-10,440071,600000,0
2010-11,428295,560000,0
2010-12,449570,540000,0
2011-01,506424,620000,0
2011-02,529315,590000,0
2011-03,475733,580000,0
2011-04,460000,600000,0
2011-05,480886,620000,0
2011-06,446966,660000,0
2011-07,460000,710000,0
2011-08,552234,660000,0
2011-09,286618,620000,0
2011-10,518477,590000,0
2011-11,611864,540000,0
2011-12,593408,530000,0
2012-01,630000,600000,0
2012-02,681849,570000,0
2012-03,561877,580000,0
2012-04,620000,590000,0
2012-05,615523,590000,0
2012-06,417429,660000,0
2012-07,466000,700000,0
2012-08,525292,670000,0
2012-09,460238,590000,0
2012-10,495576,550000,0
2012-11,655701,490000,0
2012-12,614673,540000,0
2013-01,651812,550000,0
2013-02,570476,540000,0
2013-03,587366,560000,0
2013-04,613919,570000,0
2013-05,558751,550000,0
2013-06,567291,630000,0
2013-07,658325,660000,0
2013-08,676719,650000,0
2013-09,614827,580000,0
2013-10,628695,540000,0
2013-11,731034,520000,0
2013-12,722349,540000,0
2014-01,776174,600000,0
2014-02,842026,570000,0
2014-03,709725,560000,0
2014-04,745980,590000,0
2014-05,674204,610000,0
2014-06,539776,630000,0
2014-07,564736,690000,0
2014-08,618588,660000,0
2014-09,590881,600000,0
2014-10,559002,540000,0
2014-11,608617,530000,0
2014-12,657304,530000,0
2015-01,700692,590000,0
2015-02,756000,560000,0
2015-03,617895,600000,0
2015-04,690440,610000,0
2015-05,576868,620000,0
2015-06,529445,660000,0
2015-07,593566,690000,0
2015-08,664985,690000,0
2015-09,626324,590000,0
2015-10,649099,590000,0
2015-11,732740,550000,0
2015-12,760798,550000,0
2016-01,815200,590000,0
2016-02,843726,560000,0
2016-03,830608,600000,0
2016-04,799612,610000,0
2016-05,767373,600000,0
2016-06,710574,650000,0
2016-07,856438,730000,0
2016-08,909866,690000,0
2016-09,823135,600000,0
2016-10,822145,590000,0
2016-11,936779,560000,0
2016-12,897279,560000,0
2017-01,1007238,630000,0
2017-02,1199421,610000,0
2017-03,1005821,610000,0
2017-04,1071650,650000,0
2017-05,972844,620000,0
2017-06,949362,700000,0
2017-07,1036880,760000,0
2017-08,1229163,720000,0
2017-09,975952,680000,0
2017-10,1024899,630000,0
2017-11,1172568,580000,0
2017-12,1276353,600000,0
2018-01,1430242,640000,0
2018-02,1431845,620000,0
2018-03,1343314,660000,0
2018-04,1341913,640000,0
2018-05,1161114,660000,0
2018-06,1183102,690000,0
2018-07,1188817,760000,0
2018-08,1323546,720000,0
2018-09,1212597,650000,0
2018-10,1205157,620000,0
2018-11,1301909,620000,0
2018-12,1374235,600000,0
2019-01,1501766,650000,0
2019-02,1588161,630000,0
2019-03,1410187,670000,0
2019-04,1468766,670000,0
2019-05,1326668,660000,0
2019-06,1185445,720000,0
2019-07,1315792,820000,0
2019-08,1512447,760000,0
2019-09,1561274,620000,0
2019-10,1618337,650000,0
2019-11,1809580,600000,0
2019-12,1710168,650000,0

