Month, Covid
2008-01, 0
2008-02, 0
2008-03, 0
2008-04, 0
2008-05, 0
2008-06, 0
2008-07, 0
2008-08, 0
2008-09, 0
2008-10, 0
2008-11, 0
2008-12, 0
2009-01, 0
2009-02, 0
2009-03, 0
2009-04, 0
2009-05, 0
2009-06, 0
2009-07, 0
2009-08, 0
2009-09, 0
2009-10, 0
2009-11, 0
2009-12, 0
2010-01, 0
2010-02, 0
2010-03, 0
2010-04, 0
2010-05, 0
2010-06, 0
2010-07, 0
2010-08, 0
2010-09, 0
2010-10, 0
2010-11, 0
2010-12, 0
2011-01, 0
2011-02, 0
2011-03, 0
2011-04, 0
2011-05, 0
2011-06, 0
2011-07, 0
2011-08, 0
2011-09, 0
2011-10, 0
2011-11, 0
2011-12, 0
2012-01, 0
2012-02, 0
2012-03, 0
2012-04, 0
2012-05, 0
2012-06, 0
2012-07, 0
2012-08, 0
2012-09, 0
2012-10, 0
2012-11, 0
2012-12, 0
2013-01, 0
2013-02, 0
2013-03, 0
2013-04, 0
2013-05, 0
2013-06, 0
2013-07, 0
2013-08, 0
2013-09, 0
2013-10, 0
2013-11, 0
2013-12, 0
2014-01, 0
2014-02, 0
2014-03, 0
2014-04, 0
2014-05, 0
2014-06, 0
2014-07, 0
2014-08, 0
2014-09, 0
2014-10, 0
2014-11, 0
2014-12, 0
2015-01, 0
2015-02, 0
2015-03, 0
2015-04, 0
2015-05, 0
2015-06, 0
2015-07, 0
2015-08, 0
2015-09, 0
2015-10, 0
2015-11, 0
2015-12, 0
2016-01, 0
2016-02, 0
2016-03, 0
2016-04, 0
2016-05, 0
2016-06, 0
2016-07, 0
2016-08, 0
2016-09, 0
2016-10, 0
2016-11, 0
2016-12, 0
2017-01, 0
2017-02, 0
2017-03, 0
2017-04, 0
2017-05, 0
2017-06, 0
2017-07, 0
2017-08, 0
2017-09, 0
2017-10, 0
2017-11, 0
2017-12, 0
2018-01, 0
2018-02, 0
2018-03, 0
2018-04, 0
2018-05, 0
2018-06, 0
2018-07, 0
2018-08, 0
2018-09, 0
2018-10, 0
2018-11, 0
2018-12, 0
2019-01, 0
2019-02, 0
2019-03, 0
2019-04, 0
2019-05, 0
2019-06, 0
2019-07, 0
2019-08, 0
2019-09, 0
2019-10, 0
2019-11, 0
2019-12, 0
2020-01, 1899527
2020-02, 35
2020-03, 23746
2020-04, 125923
2020-05, 104516
2020-06, 28098
2020-07, 17867
2020-08, 36321
2020-09, 108400
2020-10, 456263
2020-11, 738805
2020-12, 704459
2021-01, 6287947
2021-02, 366566
2021-03, 157973
2021-04, 81511
2021-05, 84316
2021-06, 258295
2021-07, 981431
2021-08, 1062571
2021-09, 949736
2021-10, 1409681
2021-11, 1113975
2021-12, 2228000
2022-01, 5295721
2022-02, 1576423
2022-03, 1902349
2022-04, 1134325
2022-05, 322605
2022-06, 345518
2022-07, 707226
2022-08, 167416
2022-09, 132675
2022-10, 272291
2022-11, 96870
2022-12, 146801
2023-01, 254133
2023-02, 100214
2023-03, 121646
2023-04, 81298
2023-05, 34333
2023-06, 16580
2023-07, 16058
2023-08, 31624
2023-09, 50239
2023-10, 64361
2023-11, 21417
2023-12, 43151
